Weapon Name,Ammo Count,Description,Tags,Type
RGS50,3,The anti-materiel Launcher (AML) can lock on to vehicles.,"HIGH DAMAGE, DESTROYER",Melee
MGL140,5,"Grenade launcher with mid-sized magazine, low rate of fire, huge power.","AREA OF EFFECT, HIGH DAMAGE",Rifle
M79,1,"Deals area damage, requires skillful control.","AREA OF EFFECT, PROJECTILE",Launcher
GATLING,1200,"Insane fire rate and power, but reduces mobility.","HIGH FIRE POWER, INSANE FIRE RATE",Marksman Rifle
M60,68,Large magazines and solid mid-range fire power.,"MID RANGE, HIGH CLIP-SIZE",Projectile
M249,100,"Light gun with high clip size, airdrop only.","RARE, HIGH CLIP-SIZE",Rifle
KORD,80,Best when squatting or proning.,"HIGH CLIP-SIZE, HIGH FIRE POWER",Pistol
CG15,28,Charges to fire a high damage shot.,"LONG RANGE, CHARGEABLE",Shotgun
P90,58,"High rate of fire, strong mid-range power.","SILENCED, INSANE FIRE RATE",Melee
MP40,28,"Very stable, close-range beast.","INSANE FIRE RATE, CLOSE RANGE",Sub-machine gun
UMP,38,Stable and great for beginners.,"ACCURATE, CLOSE RANGE",Melee
MP5,38,"Excellent stability, weak at long range.","CLOSE RANGE, HIGH FIRE RATE",Launcher
VSS,15,Silenced sniper-like SMG.,"LONG RANGE, SILENCED",Sub-machine gun
THOMPSON,42,Large-caliber and effective at close range.,"CLOSE RANGE, HIGH FIRE RATE",Pistol
VECTOR,23,"Akimbo mode, deadly in close range.","AKIMBO, CLOSE RANGE",Marksman Rifle
MAC10,38,Silenced and well-balanced.,"HIGH FIRE RATE, CLOSE RANGE",Pistol
BIZON,25,Powerful but lacks stability.,"HIGH DAMAGE, OUTBURST",Sniper
KATANA,0,Samurai's weapon.,"MELEE, SHIELD",Sub-machine gun
BAT,0,"Longer range than pan, less bullet deflection.","MELEE, HIGH MOBILITY",Rifle
PAN,0,Ultimate defensive shield.,"MELEE, SHIELD",Rifle
PARANG,0,"Longer range than pan, defensive sword.","MELEE, SHIELD",Sub-machine gun
SCYTHE,0,High damage and decent range.,"MELEE, HIGH DAMAGE",Machine gun
FF KNIFE,3,Lethal in close combat.,"HIGH DAMAGE, CLOSE RANGE",Rifle
AK47,38,"High damage, hard to control.","High Damage, High Recoil",Sub-machine gun
GROZA,38,"Powerful, long-range, stable.","Rare, Long Range",Sniper
SCAR,48,Balanced and beginner-friendly.,"Balanced, Low Recoil",Pistol
PLASMA,38,"Energy-based, can overheat.","Rare, Long Range",Rifle
AUG,35,High combat effectiveness.,Rare,Shotgun
PARAFAL,28,Good damage and mobility.,"Mid Range, High Damage",Shotgun
